"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 26 19:16:57 UTC 2026","Sat Sep 26 19:16:58 UTC 2026","1700","chromium","02_addUser.spec.js","","","","User not able to add username with fill age with 0",""
"skipped","Sat Sep 26 19:17:04 UTC 2026","Sat Sep 26 19:17:04 UTC 2026","0","chromium","03_login.spec.js","","","","User login without filled password field should be error",""
"skipped","Sat Sep 26 19:17:04 UTC 2026","Sat Sep 26 19:17:04 UTC 2026","0","chromium","03_login.spec.js","","","","User login without filled any field should be error",""
"passed","Sat Sep 26 19:16:53 UTC 2026","Sat Sep 26 19:16:54 UTC 2026","1430","chromium","01_login.spec.js","","","","User should be able to login",""
"skipped","Sat Sep 26 19:17:04 UTC 2026","Sat Sep 26 19:17:04 UTC 2026","0","chromium","03_login.spec.js","","","","User login with invalid data should be error",""
"skipped","Sat Sep 26 19:16:52 UTC 2026","Sat Sep 26 19:16:52 UTC 2026","2","chromium","01_addEmployee.spec.js","","","","User add Employee should be success",""
"passed","Sat Sep 26 19:17:01 UTC 2026","Sat Sep 26 19:17:04 UTC 2026","2833","chromium","02_addUser.spec.js","","","","User should be see confetti if input correct username",""
"skipped","Sat Sep 26 19:17:04 UTC 2026","Sat Sep 26 19:17:04 UTC 2026","1","chromium","02_newUser.spec.js","","","","User login with fresh user should be success",""
"passed","Sat Sep 26 19:16:58 UTC 2026","Sat Sep 26 19:17:01 UTC 2026","2388","chromium","02_addUser.spec.js","","","","User not able to add username with existing user",""
"skipped","Sat Sep 26 19:17:04 UTC 2026","Sat Sep 26 19:17:04 UTC 2026","0","chromium","03_login.spec.js","","","","User login with valid data should be success",""
"skipped","Sat Sep 26 19:17:04 UTC 2026","Sat Sep 26 19:17:04 UTC 2026","0","chromium","03_login.spec.js","","","","User login without filled username field should be error",""
